name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь/Станочник широкого профиля,,,,Челябинск,2022-12-18T07:21:28+0300
Ведущий Программист 1С,200000,,RUR,Екатеринбург,2022-12-18T07:31:12+0300
Механик по ремонту дизельных двигателей,230000,,KZT,Алматы,2022-12-18T07:00:40+0300
Оператор - наладчик станков с ЧПУ,65000,90000,RUR,Екатеринбург,2022-12-18T07:10:00+0300
Ведущий инженер-программист АИС,,,,Санкт-Петербург,2022-12-18T07:01:01+0300
Наладчик машин и автоматических линий,51000,,RUR,Пермь,2022-12-18T07:21:54+0300
Системный администратор,30000,30000,RUR,Тюмень,2022-12-18T07:04:19+0300
Ассистент руководителя,,,,Талдыкорган,2022-12-18T07:13:32+0300
Руководитель отдела маркетинга,250000,,KZT,Караганда,2022-12-18T07:41:59+0300
Программист 1С (middle),100000,,RUR,Тюмень,2022-12-18T07:24:54+0300
Программист 1С,60000,,RUR,Нижний Новгород,2022-12-18T07:32:25+0300
Сервисный инженер,40000,50000,RUR,Белгород,2022-12-18T07:55:12+0300
Ведущий специалист отдела методологии (Бизнес-аналитик),54000,,RUR,Тюмень,2022-12-18T07:22:12+0300
Контрольный механик в таксопарк,30000,35000,RUR,Кемерово,2022-12-18T07:06:27+0300
Junior Frontend Developer,60000,,RUR,Екатеринбург,2022-12-18T08:35:55+0300
Эксперт поддержки,48000,,RUR,Екатеринбург,2022-12-18T08:57:38+0300
Frontend-разработчик,,,,Ташкент,2022-12-18T08:14:50+0300
Дизайнер-иллюстратор,57000,,RUR,Краснодар,2022-12-18T08:24:56+0300
Графический дизайнер,60000,,RUR,Санкт-Петербург,2022-12-18T08:46:51+0300
Помощник дизайнера,50000,,RUR,Санкт-Петербург,2022-12-18T08:50:59+0300
Графический дизайнер,,40000,RUR,Челябинск,2022-12-18T08:24:20+0300
Ученик оператора станков с ЧПУ,35000,40000,RUR,Санкт-Петербург,2022-12-18T08:58:34+0300
QA - тестировщик,,,,Ташкент,2022-12-18T08:51:42+0300
Backend-разработчик на Python,60000,,RUR,Екатеринбург,2022-12-18T08:34:52+0300
Аналитик,200000,200000,KZT,Алматы,2022-12-18T08:27:03+0300
Дизайнер,,300000,KZT,Астана,2022-12-18T08:39:56+0300
Специалист по обучению/методист,40000,,RUR,Уфа,2022-12-18T08:40:56+0300
Backend разработчик (CRM),,,,Ташкент,2022-12-18T08:14:19+0300
Программист С#,,,,Екатеринбург,2022-12-18T08:09:48+0300
Моушн дизайнер/3D дженералист,90000,150000,RUR,Москва,2022-12-18T08:07:06+0300
Сервисный инженер / Компьютерный мастер,,250000,RUR,Москва,2022-12-18T08:19:17+0300
IOS разработчик,80000,140000,RUR,Омск,2022-12-18T08:45:30+0300
SQL программист,60000,,RUR,Саратов,2022-12-18T08:37:23+0300
Консультант службы технической поддержки клиентов iiko (2 линия),70000,,RUR,Санкт-Петербург,2022-12-18T08:51:45+0300
Middle Python разработчик,100000,200000,RUR,Москва,2022-12-18T08:24:49+0300
